Cap (uF),Cap (code),Case size φD × L  (mm),Rated ripple,Voltage,Voltage code
4.7,4R7,8 × 11.5,39,200V,2D
10,100,10 × 12.5,65,200V,2D
22,220,10 × 20.5,120,200V,2D
33,330,12.5 × 20.5,160,200V,2D
47,470,12.5 × 20.5,195,200V,2D
100,101,16 × 31.5,375,200V,2D
220,221,18 × 35.5,575,200V,2D
330,331,20 × 40.5,705,200V,2D
470,471,22 × 50.,840,200V,2D
1000,102,,,,
2200,222,,,,
3300,332,,,,
4700,472,,,,
6800,682,,,,
0.1,0R1,,,,
0.22,R22,,,,
0.33,R33,,,,
0.47,R47,6.3 × 11.5,10,250V,2E
1,10,6.3 × 11.5,15,250V,2E
2.2,2R2,6.3 × 11.5,23,250V,2E
3.3,3R3,8 × 11.5,32,250V,2E
4.7,4R7,8 × 11.5,39,250V,2E
10,100,10 × 16.5,74,250V,2E
22,220,12.5 × 20.5,130,250V,2E
33,330,12.5 × 20.5,160,250V,2E
47,470,12.5 × 25.5,210,250V,2E
100,101,16 × 31.5,365,250V,2E
220,221,20 × 40.5,600,250V,2E
330,331,22 × 50.5,730,250V,2E
470,471,25 × 50.,870,250V,2E
1000,102,,,,
2200,222,,,,
3300,332,,,,
4700,472,,,,
6800,682,,,,
0.1,0R1,,,,
0.22,R22,,,,
0.33,R33,,,,
0.47,R47,,,,
1,10,6.3 × 11.5,15,315V,2F
2.2,2R2,8 × 11.5,26,315V,2F
3.3,3R3,10 × 12.5,38,315V,2F
4.7,4R7,10 × 12.5,45,315V,2F
10,100,10 × 20.5,80,315V,2F
22,220,12.5 × 20.5,115,315V,2F
33,330,16 × 25.5,195,315V,2F
47,470,16 × 25.5,230,315V,2F
100,101,18 × 35.5,395,315V,2F
220,221,22 × 50.5,620,315V,2F
330,331,25 × 50.5,760,315V,2F
470,471,,,,
1000,102,,,,
2200,222,,,,
3300,332,,,,
4700,472,,,,
6800,682,,,,
0.1,0R1,,,,
0.22,R22,,,,
0.33,R33,,,,
0.47,R47,,,,
1,10,6.3 × 11.5,15,350V,2V
2.2,2R2,8 × 11.5,26,350V,2V
3.3,3R3,10 × 12.5,38,350V,2V
4.7,4R7,10 × 12.5,45,350V,2V
10,100,10 × 20.5,80,350V,2V
22,220,12.5 × 25.5,115,350V,2V
33,330,16 × 25.5,195,350V,2V
47,470,16 × 35.5,270,350V,2V
100,101,18 × 40.5,420,350V,2V
220,221,22 × 50,620,350V,2V
330,331,,,,
470,471,,,,
1000,102,,,,
2200,222,,,,
3300,332,,,,
4700,472,,,,
6800,682,,,,
0.1,0R1,,,,
0.22,R22,,,,
0.33,R33,,,,
0.47,R47,,,,
1,10,8 × 11.5,17,400V,2G
2.2,2R2,10 × 12.5,30,400V,2G
3.3,3R3,10 × 12.5,38,400V,2G
4.7,4R7,10 × 16.5,50,400V,2G
10,100,12.5 × 20.5,90,400V,2G
22,220,16 × 25.5,165,400V,2G
33,330,16 × 31.5,215,400V,2G
47,470,16 × 35.5,270,400V,2G
100,101,20 × 40.5,450,400V,2G
220,221,25 × 50.5,660,400V,2G
330,331,,,,
470,471,,,,
1000,102,,,,
2200,222,,,,
3300,332,,,,
4700,472,,,,
6800,682,,,,
0.1,0R1,,,,
0.22,R22,,,,
0.33,R33,,,,
0.47,R47,,,,
1,10,8 × 11.5,13,450V,2W
2.2,2R2,10 × 12.5,23,450V,2W
3.3,3R3,10 × 16.5,31,450V,2W
4.7,4R7,10 × 20.5,40,450V,2W
10,100,12.5 × 20.5,65,450V,2W
22,220,16 × 25.5,115,450V,2W
33,330,16 × 35.5,165,450V,2W
47,470,18 × 40.5,185,450V,2W
100,101,22 × 40,270,450V,2W
220,221,,,,
330,331,,,,
470,471,,,,
1000,102,,,,
2200,222,,,,
3300,332,,,,
4700,472,,,,
6800,682,,,,
