Capacitance,0201 | 25 V,0201 | 50 V,0402 |  50 V,0603 | 50 V,0603 | 100 V,0603 | 250 V,0805 | 50 V,0805 | 100 V,0805 | 250V,1206 | 50 V,1206 |  100 V,1206 | 250 V,1206 | 500 V,1206 | 630 V,1210 | 50 V,1210 | 100 V,1210 | 250 V,1210 | 500 V
82pF,,, 0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,,,,
100pF,,, 0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,,,,
120pF,,,0.5±0.05,0.8±0.1,0.8±0.1,0.8±0.1,0.6±0.1,0.6±0.1,0.6±0.1,0.6± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,,,,
150pF,,,0.5±0.05,0.8±0.1,0.8±0.1,0.8±0.1,0.6±0.1,0.6±0.1,0.6±0.1,0.6± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,,,,
180pF,,,0.5±0.05,0.8±0.1,0.8±0.1,0.8±0.1,0.6±0.1,0.6±0.1,0.6±0.1,0.6± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,,,,
220pF,,,0.5±0.05,0.8±0.1,0.8±0.1,0.8±0.1,0.6±0.1,0.6±0.1,0.85±0.1,0.6± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,,,,
270pF,,,0.5±0.05,0.8±0.1,0.8±0.1,0.8±0.1,0.6±0.1,0.6±0.1,0.85±0.1,0.6± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,,,,
330pF,,,0.5±0.05,0.8±0.1,0.8±0.1,0.8±0.1,0.6±0.1,0.6±0.1,0.85±0.1,0.6± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,,,,
390pF,,,0.5±0.05,0.8±0.1,0.8±0.1,0.8±0.1,0.6±0.1,0.6±0.1,0.85±0.1,0.6± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,,,,
470pF,,,0.5±0.05,0.8±0.1,0.8±0.1,0.8±0.1,0.6±0.1,0.6±0.1,0.85±0.1,0.6± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,,,,
560pF,,,0.5±0.05,0.8±0.1,0.8±0.1,0.8±0.1,0.6±0.1,0.85±0.1,0.85±0.1,0.6± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,,,,
680pF,,,0.5±0.05,0.8±0.1,0.8±0.1,0.8±0.1,0.6±0.1,0.85±0.1,0.85±0.1,0.6± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,,,,
820pF,,,0.5±0.05,0.8±0.1,0.8±0.1,,0.6±0.1,0.85±0.1,0.85±0.1,0.6± 0.1, 0.6± 0.1,0.85± 0.1,0.85± 0.1,1.25± 0.2,,,,
1nF,,,0.5±0.05,0.8±0.1,0.8±0.1,,0.6±0.1,0.85±0.1,0.85±0.1,0.6± 0.1, 0.6± 0.1,0.85± 0.1,0.85± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2,1.25± 0.2,1.25± 0.2
1.2nF,,,,,,,0.85±0.1,0.85±0.1,,0.6± 0.1, 0.6± 0.1,0.85± 0.1,,,1.25± 0.2,1.25± 0.2,1.25± 0.2,1.25± 0.2
1.5nF,,,,,,,0.85±0.1,0.85±0.1,,0.6± 0.1, 0.6± 0.1,0.85± 0.1,,,1.25± 0.2,1.25± 0.2,1.25± 0.2,1.25± 0.2
1.8nF,,,,,,,0.85±0.1,0.85±0.1,,0.6± 0.1, 0.6± 0.1,,,,1.25± 0.2,1.25± 0.2,1.25± 0.2,1.25± 0.2
2.2nF,,,,,,,1.25±0.2,1.25±0.2,,0.6± 0.1, 0.6± 0.1,,,,1.25± 0.2,1.25± 0.2,1.25± 0.2,
2.7nF,,,,,,,1.25±0.2,1.25±0.2,,0.6± 0.1, 0.6± 0.1,,,,1.25± 0.2,1.25± 0.2,1.25± 0.2,
3.3nF,,,,,,,1.25±0.2,1.25±0.2,,,,,,,,,,
3.9nF,,,,,,,1.25±0.2,1.25±0.2,,,,,,,,,,
4.7nF,,,,,,,1.25±0.2,1.25±0.2,,,,,,,,,,
5.6nF,,,,,,,1.25±0.2,1.25±0.2,,,,,,,,,,
6.8nF,,,,,,,1.25±0.2,1.25±0.2,,,,,,,,,,
8.2nF,,,,,,,1.25±0.2,1.25±0.2,,,,,,,,,,
10nF,,,,,,,1.25±0.2,1.25±0.2,,,,,,,,,,
