Capacitance,0201 | 25V,0201 | 50V,0402 | 16V,0402 | 25V,0402 | 50V,0603 | 16V,0603 | 25V,0603 | 50V,0805 | 16V,0805 | 25V,0805 | 50V,1206 | 16V,1206 | 25V,1206 | 50V,1210 | 25V,1210 | 50V,1812 | 50V
39 pF,0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,
47 pF,0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,
56 pF,0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
68 pF,0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
82 pF,0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
100 pF, 0.3± 0.03, 0.3± 0.03, 0.5± 0.05, 0.5± 0.05, 0.5± 0.05, 0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 1.25± 0.2, 1.25± 0.2, 1.25± 0.2
120 pF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
150 pF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
180 pF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
220 pF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
