Capacitance,Capacitance Code,0201 16V,0201 25V,0201 50V,0402 10V,0402 16V,0402 25V,0402 50V,0402 100V,0603 10V,0603 16V,0603 25V,0603 50V,0603 100V,0805 10V,0805 16V,0805 25V,0805 50V,0805 100V,1206 10V,1206 16V,1206 25V,1206 50V,1206 100V,1210 10V,1210 16V,1210 25V,1210 50V,1210 100V,1812 16V,1812 25V,1812 50V,1812 100V
"8,200pF",-822,,,,,,,,,X*,X*,X*,X*,,D,D,D,D,,D,D,D,D,D,C,C,C,C,C,D,D,D,D
0.010uF,-103,,,,,,,,,X*,X*,X*,X*,,D,D,D,D,,D,D,D,D,D,C,C,C,C,C,D,D,D,D
0.012uF,-123,,,,,,,,,,,,,,T*,T*,T*,T*,,P,P,P,P,P,D,D,D,D,D,D,D,D,D
0.015uF,-153,,,,,,,,,,,,,,T*,T*,T*,T*,,P,P,P,P,P,D,D,D,D,D,D,D,D,D
0.018uF,-183,,,,,,,,,,,,,,D*,D*,D*,D*,,P,P,P,P,P,K,K,K,K,K,D,D,D,D
0.022uF,-223,,,,,,,,,,,,,,D*,D*,D*,D*,,P,P,P,P,P,K,K,K,K,K,D,D,D,D
0.027μF,-272,,,,,,,,,,,,,,,,,,,P,P,P,P,,K,K,K,K,K,D,D,D,D
0.033μF,-332,,,,,,,,,,,,,,,,,,,P,P,P,P,,K,K,K,K,K,D,D,D,D
0.039μF,-392,,,,,,,,,,,,,,,,,,,P,P,P,P,,,,,,,M,M,M,M
0.047μF,-472,,,,,,,,,,,,,,,,,,,J*,J*,J*,J*,,,,,,,M,M,M,M
0.056μF,-562,,,,,,,,,,,,,,,,,,,J*,J*,J*,J*,,,,,,,M,M,M,M
0.068μF,-682,,,,,,,,,,,,,,,,,,,G*,G*,G*,G*,,,,,,,M,M,M,M
0.082μF,-823,,,,,,,,,,,,,,,,,,,G*,G*,G*,G*,,,,,,,M,M,M,M
0.1μF,-104,,,,,,,,,,,,,,,,,,,G*,G*,G*,G*,,,,,,,M,M,M,M
